============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_18                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_19                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_20                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_21                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
